from type \ to type,5-HTPMPV03,AOTU053,AOTU065,AVLP151,AVLP534,Am1,C2,C3,CB0472,CB0566,CB0592,CB0816,CB3089,CB3790,CL104,CT1,DCH,DN1-l,DN1a,DNc01,DNc02,DNg33,DNp11,DNp27,DNp30,Dm1,Dm10,Dm11,Dm12,Dm13,Dm14,Dm15,Dm16,Dm17,Dm18,Dm19,Dm2,Dm20,Dm3p,Dm3q,Dm3v,Dm4,Dm6,Dm8a,Dm8b,Dm9,DmDRA1,DmDRA2,H1,H2,HSE,HSN,HSS,L1,L2,L3,L4,L5,LAL047,LC10a,LC10b,LC10c,LC10d,LC10e,LC10f,LC11,LC12,LC13,LC14a1,LC14a2,LC14b,LC15,LC16,LC17,LC18,LC19,LC20a,LC20b,LC21,LC22,LC24,LC25,LC26,LC27,LC28a,LC29,LC31a,LC31b,LC31c,LC33a,LC34,LC35,LC36,LC37a,LC39,LC4,LC40,LC41,LC43,LC44,LC45,LC46,LC6,LC9,LCe01,LCe01a,LCe01b,LCe02,LCe03,LCe04,LCe05,LCe06,LCe07,LCe08,LCe09,LHPV2i2a,LLPC1,LLPC2,LLPC3,LLPC4,LLPt,LMTe01,LMa1,LMa2,LMa3,LMa4,LMa5,LMt1,LMt2,LMt3,LMt4,LNda,LPC1,LPC2,LPLC1,LPLC2,LPLC4,LPT04_HST,LPT21,LPT22,LPT23,LPT26,LPT27,LPT28,LPT29,LPT30,LPT31,LPT42_Nod4,LPT45_dCal1,LPT47_vCal2,LPT48_vCal3,LPT49,LPT50,LPT51,LPT52,LPT53,LPT54,LPT57,LPT58,LPTe01,LPTe02,LPi01,LPi02,LPi03,LPi04,LPi05,LPi06,LPi07,LPi08,LPi09,LPi10,LPi11,LPi12,LPi13,LPi14,LPi15,LT11,LT1a,LT1b,LT1c,LT1d,LT33,LT34,LT36,LT37,LT38,LT39,LT40,LT41,LT42,LT43,LT47,LT51,LT52,LT53,LT55,LT56,LT57,LT58,LT59,LT60,LT61a,LT61b,LT62,LT63,LT64,LT65,LT66,LT67,LT68,LT69,LT70,LT72,LT73,LT74,LT75,LT76,LT77,LT78,LT79,LT80,LT81,LT82a,LT83,LT84,LT85,LT86,LT87,LTe01,LTe02,LTe03,LTe04,LTe05,LTe06,LTe07,LTe08,LTe09,LTe10,LTe11,LTe12,LTe13,LTe14,LTe15,LTe16,LTe17,LTe18,LTe19,LTe20,LTe21,LTe22,LTe23,LTe24,LTe25,LTe26,LTe27,LTe28,LTe29,LTe30,LTe31,LTe32,LTe33,LTe35,LTe36,LTe37,LTe38a,LTe38b,LTe38c,LTe40,LTe41,LTe42a,LTe42b,LTe42c,LTe43,LTe44,LTe45,LTe46,LTe47,LTe48,LTe49a,LTe49b,LTe49c,LTe49d,LTe49e,LTe49f,LTe50,LTe51,LTe52,LTe53,LTe54,LTe55,LTe56,LTe57,LTe58,LTe59,LTe60,LTe61,LTe62,LTe63,LTe64,LTe65,LTe66,LTe67,LTe68,LTe69,LTe70,LTe71,LTe72,LTe73,LTe74,LTe75,LTe76,Lai,Lat,Lawf1,Lawf2,Li01,Li02,Li03,Li04,Li05,Li06,Li07,Li08,Li09,Li10,Li11,Li12,Li13,Li14,Li15,Li16,Li17,Li18,Li19,Li20,Li21,Li22,Li23,Li24,Li25,Li26,Li27,Li28,Li29,Li30,Li31,Li32,Li33,MC65,MLt1,MLt2,MLt3,MLt4,MLt5,MLt6,MLt7,MLt8,MTe01a,MTe01b,MTe02,MTe03,MTe04,MTe05,MTe06,MTe07,MTe08,MTe09,MTe10,MTe11,MTe12,MTe13,MTe14,MTe15,MTe16,MTe17,MTe18,MTe19,MTe20,MTe21,MTe22,MTe23,MTe24,MTe25,MTe26,MTe27,MTe28,MTe29,MTe30,MTe31,MTe32,MTe33,MTe34,MTe35,MTe36,MTe37,MTe38,MTe39,MTe40,MTe41,MTe42,MTe43,MTe44,MTe45,MTe46,MTe47,MTe48,MTe49,MTe50,MTe51,MTe52,MTe53,MTe54,MeLp1,MeLp2,MeMe_e01,MeMe_e02,MeMe_e03,MeMe_e04,MeMe_e05,MeMe_e06,MeMe_e07,MeMe_e08,MeMe_e09,MeMe_e10,MeTu1,MeTu2a,MeTu2b,MeTu3a,MeTu3b,MeTu3c,MeTu4a,MeTu4b,MeTu4c,MeTu4d,Mi1,Mi10,Mi13,Mi14,Mi15,Mi2,Mi4,Mi9,Nod1,Nod2,Nod3,Nod5,OA-AL2b1,OA-AL2b2,OA-AL2i1,OA-AL2i2,OA-AL2i3,OA-AL2i4,OA-ASM1,PDt,PLP051,PLP068,PLP215,PLP251,Pm01,Pm02,Pm03,Pm04,Pm05,Pm06,Pm07,Pm08,Pm09,Pm10,Pm11,Pm12,Pm13,Pm14,R1-6,R7,R8,Sm01,Sm02,Sm03,Sm04,Sm05,Sm06,Sm07,Sm08,Sm09,Sm10,Sm11,Sm12,Sm13,Sm14,Sm15,Sm16,Sm17,Sm18,Sm19,Sm20,Sm21,Sm22,Sm23,Sm24,Sm25,Sm26,Sm27,Sm28,Sm29,Sm30,Sm31,Sm32,Sm33,Sm34,Sm35,Sm36,Sm37,Sm38,Sm39,Sm40,Sm41,Sm42,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tlp1,Tlp14,Tlp4,Tlp5,Tm1,Tm16,Tm2,Tm20,Tm21,Tm25,Tm27,Tm3,Tm31,Tm32,Tm33,Tm34,Tm35,Tm36,Tm37,Tm4,Tm5a,Tm5b,Tm5c,Tm5d,Tm5e,Tm5f,Tm7,Tm8a,Tm8b,Tm9,TmY10,TmY11,TmY14,TmY15,TmY16,TmY20,TmY3,TmY31,TmY4,TmY5a,TmY9q,TmY9q⊥,VCH,VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8,VST1,VST2,VSm,Y1,Y11,Y12,Y3,Y4,aMe1,aMe10,aMe12,aMe13,aMe15,aMe17a1,aMe17a2,aMe17b,aMe17c,aMe19a,aMe19b,aMe20,aMe22,aMe25,aMe26,aMe3,aMe4,aMe5,aMe6a,aMe8,aMe9,cL01,cL02a,cL02b,cL02c,cL02d,cL03,cL04,cL05,cL06,cL07,cL08,cL09,cL10,cL11,cL12,cL13,cL14,cL15,cL16,cL17,cL18,cL19,cL20,cL21,cL22a,cL22b,cL22c,cLLP02,cLLPM01,cLLPM02,cLM01,cLP01,cLP02,cLP03,cLP04,cLP05,cLPL01,cM01a,cM01b,cM01c,cM02a,cM02b,cM03,cM04,cM05,cM07,cM08a,cM08b,cM08c,cM09,cM10,cM12,cM13,cM14,cM15,cM16,cM17,cM18,cM19,cML01,cML02,cMLLP01,cMLLP02,l-LNv,mALC3,mALC4,mALC5,mALC6,mALD1,mALD2,s-LNva,vCal1
LMa5,,,,,,,31,202,,,21,,,,,,,,,,,,2,,4,,2,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,9,4,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,5,,,,1412,284,144,47,51,30,68,1080,12,,,,13,2,4,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,55,211,,234,,,,,,,,,,,,,,,,1118,,,,,,,2,,,,2,,,,,,,,,,,,,,,2,7,,,,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5312,,,,,,2,,,,2,,,,,181,16,1498,,,,448,,,6,,,,,,,,,,,4,,,2905,,,,,,,,2,,,,,46,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,8,,,,,,,,4,60,,12,,26,,,,,,,25,55,,,,,,,,,,,,,207,11,5990,67,,4256,44,23,,,,,,,,35,,,,57,,,,,1131,3036,19306,8331,510,865,144,12543,331,533,64,93,50,82,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21,,169,646,516,11,11,21,8,,,,,,,7,,325,158,24,8,156,38,326,542,,,,,4,6,4,44,,,,2,2,2,,,,,8,163,238,139,198,,10,,,219,2,15,,,,,,,,,,,,,8,18,17,868,82,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,3,,,,,,,
LMt1,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,2133,284,53,11,26,239,200,5,49,363,,,,1379,158,,,,,239,4,127,60,41,,,6,,,,12,,,9,,,,2,294,,,2,,,,,,25,,,,24,2,20,,2,,29,80,32,,196,14,882,14,13,,,,479,6,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,309,358,18,169,,,,,,,,,,,,,,,,2,,,,3,217,136,409,,,,16,,,,,,,161,,21,,,6,9,,676,19,,,,110,,,2,,46,,,,,40,,128,,,,,,,,74,33,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,29,,,,,,,,,,,,,,,,2,,57,,,13,236,,,,10,,,,,721,45,55,,7,4,18,,,63,21,,,,,,37,4,3,,4,,,16,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,6,,,2,,,,,,,,,,,,,,,,,,,,,,,2,13,,,,2,,,,,,,2,135,,,,,,,,,2,,6,,6,,5,6,20,263,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,193,266,408,,,,,2,,,,,,2,,,,,6,856,,191,8,2,,,,,2,,4,,,,,15,8,,,,,,6,2,17,2,,,,,1418,,,,,,,,,,,,,,,,,,66,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,5,,,,,,4,,,,,,
LMt2,,,,,,,,2,,,4,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,2734,50,129,17,2,31,7,6,65,112,,,,12,61,,,,,19,17,147,71,7,,,2,,,3,,,,,,,,,8,,,,,,,,2,102,,,,6,,,2,93,,22,2744,217,4,2157,668,78,2,6,,,,921,14,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,164,248,,53,,,,,,,,,,,,,,2,,9,,,,49,17,73,50,,,,,,,,,,,2,,,,,29,5,,39,1916,,,,11,,,,,,,,,,2,,154,12,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,2,,,6,61,,,,17,,,,,,2,56,,53,,10,,,477,11,2,2,,,,10,4,260,,,,,11,,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,5,2,4,,70,,,,,,,,13,,,,,,,,,,,,,4,8,6,13,,6,3,,,,,,,,,4,,,,,,,,,5,6,51,71,247,31,733,32,56,43,,,15,20,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,208,,11,5134,1259,,,,,,,,,,,,,6,2,,2,74,10,6,2,,,2,,,32,,,,,,,2,91,,,,,2,2,13,76,8,2,2,6,8,103,4,3,,,,,,,,,,,,,,2,,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
LMt3,,,,,,,,18,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,10,,,15,,3,59,,7,,5,8,5,81,,147,,369,,,,,135,46,,,,,,441,,,,2,,,,,12,,2,3,,2,,,3,,,5,137,,2,,104,26,2,,20,,14,31,21,13,279,16,4,2,18,,,,16,31,202,,,,,,,,,,114,,,,,,,,,,184,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,2,,,,,,,,29,223,,2,,3,,25,,,,,4,,4,,,,,,,,,,2,7,,,,6,,,,,,,,,,,,,3,7,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,75,,,,,,,,,,,,,,,4,49,2,58,10,,265,6,2,4,,19,,,,2,,7,11,,3,,17,148,,2,2,,,7,158,4,,12,5,,,,,149,,,,,,,,3,,,,,2,,,,,8,,,,,147,,,,,,,,,2,,,,,,,,,,,,,,380,59,7,,,,,,,,,24,4,,,7,,,,,,,5,10,,,,,,,,,,,,,7,41,649,11,,23,49,12,,,,,,,7,9,,,,12,,,,,24,2,4251,11,10,17,32,49,22,25,693,1477,1387,39,,,,,,,69,6,,,,2,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,41,20,4,,,,,,,,,506,33,425,273,8,91,,,2,6,545,4,,2,2,,,,,75,,,2,2,2,2,10,,2,19,,10,11,68,47,,3,,17,19,,7,,,,,,,,,,,,,146,496,162,8,2025,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,2,,,,,,,,,4,,2,,,,,,,,,,
LMt4,,,,,,,,9,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,62,2,5,2,3,,6,,2,6,,,,23,,,,,,,,323,95,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,2,,,,2,,13,62,4826,2213,31,12,4,13,33,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,2,,2,,,,,,,,,,,,,,,,,,,,,5,,,,,,4,,,,,,,3,,,,,,338,,,4,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,21,,,,,10,,,,2,22,3,8,,,2,9,,,42,,6,,,7,,9,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,20,,,2,,,,,30,2,34,,,,,,,,,5,2,,,,,,,,,,,,,2,,20,,,168,5,6,,,,,,,,,,,,4,,,,,8,,10,91,6,10,,22,96,4,24,21,2,2,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,21,13,13,2,,32,2,2,5,7,8,,2,,,4,,,4,6,,,8,,,,,,,,13,,,,,,4,2,12,,,,2,11,2904,2,,,9,,85,,,,,,,,,,,,,,,4,,,17,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,
LNda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,
LPC1,,,,,,132,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,89,16,,82,,,,4,,,,,,,,1060,7,656,495,331,,532,1151,1015,,,,,,5,513,2,,6,3,159,,,,,,,,,,234,,14,744,,8,,,2000,2,23,,40,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,393,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,2,8,33,2,,34,4,711,14,,,,,,,,,,,,,,11,,,,,,,,,,,,,,231,43,50,14,11,4,26,4,12,,3,2,7,,,,,,,,,,,9,30,3,285,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
LPC2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,15,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,816,18,,18,,,,,,,,,,,,33,70,4,46,1213,,5,4,34,7,,33,2,,4,69,,,100,,,2,10,,,85,,,,,16,,96,18,19,57,67,103,124,260,,9,6,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,2,,,,,,,,,,,,,,,4,,6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,34,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,30,2,,8,26,,2,89,842,24,,3,,,,,3,,,,,,,69,,,,,,,,13,,,,,46,605,2926,246,109,678,4,1290,1103,24,55,11,,,,,,,,,,,,,254,1187,,2523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPLC1,,,,,,19,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,43,,,5,,,222,4,8,400,4,23,11,13,41,35,8,2,2,34,9,2,,,,4,11,141,468,277,,,2,,,2,450,4,,,,,,7,34,,,,,,,,100,12,,,,543,117,8,,4,,1621,1354,73,,118,32,29,4,149,,516,5,61,15,34,,,2,4,,,,,,8,,,,2,,,,,,,,,,,,104,,2,375,,4,,4,12,16,4,,8,32,4,6,14,,2,2,,,,,,,,,,,257,,,,24,,4,,3,,910,23,,,,130,,,,,,,141,,,,,15,,,1089,1862,,,,,,,,,,,,,,,,,,,,,,343,,101,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,3,80,2,,,,,,,,,,,,,,,4,6,,,6,37,,,2,8,,6,,4,12,16,34,4,2,2,20,2,,873,9,,4,4,,2,20,10,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,20,2,,8,10,,,2,8,4,20,8,19,7,,,,2,14,,12,2,47,,4,,,4,4,6,,7,4,,2,8,2,,,,,2,33,34,5,,4,,2,14,,2,,,4,,,,,,,,,11,6,4,4,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,13,,,,,,2,,,,,,8
LPLC2,,,,,,21,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,38,2,,,,,,,,,8,4,,9,,,5,4,2,97,,10,6,4,2,,2,,5,4,13,,,3,,,,36,233,203,2,,2,2,,,360,,,,,,,8,7,,,,,,,,93,5,,,,34,57,18,,3,,426,11,14,,17,,2,,2,,237,32,31,806,1213,,,16,3,13,3,,,,2,,,,60,,28,,,,,,,,,,6,,11,16,,6,,14,4,29,5,,19,69,,,,,,2,,,,,,,,,,4,94,,,,63,,2,,,,4,4,,3,,,,,,,,2,,,,4,2,8,2,,24,,,,2,,,,,,,,,2,,,,,12,,,,,2,,72,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,3,,,,124,16,,,,,,,,,,,,,,,4,,,,7,13,,,,4,4,,4,,,6,2,4,,,23,,,2,2,,3,10,,,5,6,10,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,5,6,2,,2,11,11,7,2,2,10,,19,22,7,5,5,,9,3,,6,2,2,,2,2,2,21,,9,,2,2,,12,21,,,,,4,110,14,21,10,13,2,18,4,26,,,2,14,,,,,,,,,2,2,16,18,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,2,,,4,,,,,,,,,,2,,,,,,,,,,,,,,93,,,2,,,,,,,,,
LPLC4,,,,,,2,,,,,,,,,,,3,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,60,624,,435,2,,35,10,2,116,27,17,2,,,,324,6,8,4,20,8,,,,11,8,11,11,,,,11,37,,19,3,2,,4,,2,20,,4,,,,,,,,8,5,,,,56,10,21,,16,,370,128,,,10,4,2,10,2,,14,10,9,15,279,,4,2,11,,,,,,3,,,,,,,,803,,3,,,10,,,53,,7,46,,7,2,,6,6,2,2,5,4,,,,,,,,,7,83,5,44,2,95,,4,410,90,7,,2,,,,,,,2,,9,,2,,,,,2,,,,167,9,,2,,8,77,,2,,10,,,,,,,,,,,,,,19,21,,,26,,,9,228,,,53,,,,,,2,,,2,,3,,,,,,,37,11,48,,,,,,,2,,,,,2,,,,,,2,,,,,,45,,,29,98,40,,,,,,,,,,,,,,,127,9,,,322,144,,,7,41,2,2,4,,,5,19,,,,11,,,91,2,,4,2,3,8,4,15,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,2,,,,3,,393,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,2,3,,7,8,,2,3,4,14,,2,,,,,2,,5,4,,,,11,,,,,2,,4,2,31,2,,,6,11,53,13,11,26,9,23,4,30,4,8,3,,,,,,,,,,,15,14,13,,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,,2,64,18,4,3,824,,546,,,87,24,7,,,,4,2,23,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,17
LPT04_HST,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPT21,,,,,,7,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,13,,,,,,,,,,,,22,,,13,27,,,12,75,,,2,,5,,,,11,,3,,55,4,27,2,4,,,,,6,,5,21,4,,13,,32,,6,,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,,3,5,300,2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,2,2,4,6,,,,,,,,,2,,,8,10,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
