from type -> to type,connections,synapses
LPC2 -> LPC1,16,33
LCe01b -> LT58,11,33
LC13 -> LT42,5,33
LC14b -> Li27,10,33
MeTu4b -> Tm32,12,33
LPC2 -> LPT28,11,33
aMe25 -> LT55,1,33
LTe14 -> cL18,2,33
LC28a -> TmY31,13,33
LC28a -> LTe49f,10,33
LC20b -> Li32,10,33
aMe5 -> Sm39,7,33
aMe26 -> MeTu1,14,33
LT82a -> LT82a,4,33
LT57 -> LC10e,11,33
cL09 -> cL21,2,33
LPT57 -> H1,3,33
LC14a2 -> LC17,6,33
LPT51 -> LT36,1,33
cL02a -> LT36,3,33
MTe52 -> APDN3,5,33
LC13 -> Li10,13,33
LHPV2i2a -> PLP051,1,33
LC28a -> LC37a,12,33
LT36 -> TmY10,14,33
LT36 -> Li06,10,33
LT36 -> LTe42c,1,33
cM08c -> LTe11,3,33
LCe01a -> Li06,13,33
CB0734 -> DNp31,1,33
CB0734 -> uncertain,1,33
MTe09 -> Tm32,12,33
MTe23 -> MTe28,1,33
MeMe_e01 -> TmY3,11,33
LTe08 -> LTe41,1,33
LC10b -> LTe07,9,33
cL07 -> LC10a,10,33
VS1 -> LPi13,1,33
MC65 -> LT53,3,33
mALC5 -> LC25,6,33
mALC5 -> Dm12,9,33
cM02a -> MeTu4d,4,33
cM03 -> cM08c,6,33
LT63 -> LC10b,13,33
cL11 -> Li12,8,33
OA-AL2i1 -> T4b,16,33
cM01a -> MeTu4a,5,33
mALD1 -> LTe38c,2,33
aMe19b -> MeTu3b,6,33
MeMe_e04 -> MTe01b,5,33
cL14 -> LPLC2,15,33
cL14 -> Li21,5,33
MTe30 -> LC40,4,33
OA-ASM1 -> LC22,14,33
OA-ASM1 -> CB0592,7,33
LPT54 -> LT78,3,33
LPT54 -> OA-AL2b1,2,33
aMe17a2 -> MTe13,3,33
aMe17a2 -> Sm28,3,33
MTe51 -> LTe51,5,33
MTe27 -> aMe17c,2,33
cM14 -> Sm08,10,33
cM14 -> Tm5e,14,33
cM14 -> aMe25,1,33
MTe15 -> LTe72,2,33
LT85 -> LT51,4,33
cL22a -> LTe38b,2,33
LT62 -> OA-AL2b2,3,33
LTe21 -> cL16,2,33
aMe9 -> LTe25,3,33
cLLPM02 -> Li16,5,33
H2 -> TmY16,12,33
H2 -> LPi12,1,33
cL06 -> Tm16,13,33
cL06 -> LC10a,11,33
LT72 -> LC33a,4,33
cM13 -> Tm5e,12,33
PLP035 -> cLP03,3,33
LT65 -> LC36,8,33
aMe9 -> Sm31,8,33
cMLLP01 -> LLPt,12,33
cMLLP01 -> Mi14,11,33
cL05 -> LCe01a,8,33
PLP032 -> LT42,1,33
Tm2 -> CB0592,15,32
Sm12 -> Pm14,14,32
T2 -> cML01,10,32
Tlp5 -> Tlp4,14,32
Tlp5 -> Li05,14,32
Y12 -> LMt3,14,32
Tm1 -> Tm5c,15,32
T4b -> LLPC1,14,32
Tlp4 -> T4a,11,32
Tm37 -> LC29,14,32
TmY9q -> LLPC3,15,32
Dm3p -> Tm9,15,32
Tm34 -> LC24,10,32
TmY4 -> Li29,14,32
Tm5e -> LC40,13,32
Sm43 -> MeTu3a,13,32
Tm5f -> LC26,13,32
Mi15 -> Tm5e,15,32
TmY10 -> LT57,14,32
TmY10 -> MTe50,14,32
L4 -> Dm10,14,32
TmY14 -> T4c,15,32
Li01 -> LT63,14,32
Pm01 -> Y1,13,32
TmY20 -> LTe03,13,32
TmY15 -> Tm2,16,32
Sm09 -> MTe04,10,32
Tm3 -> Mi15,16,32
T5c -> LPT58,14,32
Li24 -> Tm3,16,32
Li24 -> Tm33,11,32
Sm02 -> Tm27,15,32
Li19 -> LMa3,11,32
Pm13 -> Mi13,11,32
Tm7 -> LTe47,11,32
TmY3 -> LC39,10,32
TmY3 -> LC17,13,32
Tm7 -> TmY10,11,32
Tm21 -> Pm02,15,32
Sm03 -> Sm39,13,32
Tm5c -> MLt2,15,32
Tm31 -> LC9,14,32
Tm31 -> LT58,13,32
Tlp4 -> T5a,15,32
Dm18 -> Tm25,15,32
Li10 -> LT1d,12,32
Pm03 -> Tm3,15,32
uncertain -> Mi4,13,32
Tm7 -> MTe14,10,32
Y1 -> Am1,12,32
Li17 -> TmY15,15,32
LPi03 -> LPi10,13,32
Tm20 -> Tm8a,15,32
Mi15 -> MeLp1,14,32
Tm8a -> MeMe_e02,10,32
TmY4 -> LPi14,14,32
Tm8a -> cL10,13,32
Tm5b -> Sm03,12,32
T3 -> LC14a2,8,32
Li02 -> Li32,12,32
Tm5a -> Sm07,12,32
Tm27 -> LPi06,15,32
Li25 -> LMa2,12,32
Li25 -> cL07,2,32
LLPt -> TmY15,16,32
Pm09 -> Mi14,14,32
MLt4 -> Pm01,14,32
Tm16 -> Tm25,13,32
LMt2 -> Tm36,14,32
Mi4 -> CB0816,14,32
Li13 -> LC45,14,32
TmY31 -> LTe57,10,32
Y12 -> LLPC2,14,32
Li01 -> Tm37,15,32
Tm16 -> Tm5a,15,32
uncertain -> Tm7,13,32
Tm2 -> Lawf2,12,32
TmY10 -> LT53,11,32
Tm31 -> uncertain,12,32
Tm5a -> MTe33,12,32
Tm5a -> LC19,5,32
Sm19 -> MTe07,14,32
Sm19 -> Tm37,15,32
Li26 -> Li31,4,32
Sm42 -> Sm32,10,32
Sm42 -> MTe05,10,32
Sm42 -> LPT54,1,32
Sm42 -> MTe37,1,32
Tm5e -> Li18,15,32
MLt7 -> LTe13,9,32
Sm10 -> T2,14,32
Sm07 -> MTe47,12,32
Y3 -> LT47,13,32
Y3 -> Mi13,6,32
Tm5d -> LC10a,13,32
Pm08 -> MTe03,12,32
Y12 -> cML01,12,32
L3 -> Tm5e,12,32
Dm12 -> TmY11,14,32
Li03 -> LTe12,9,32
Tm25 -> LPLC1,15,32
Tm5b -> LCe02,13,32
Tm20 -> Tm27,13,32
MLt5 -> Tm35,13,32
LMt3 -> Pm07,10,32
T5c -> Li33,12,32
Tm5b -> LT57,9,32
Li13 -> mALC5,12,32
Tlp14 -> H2,6,32
TmY9q⊥ -> Li30,13,32
Li04 -> cM10,8,32
Pm07 -> Pm03,14,32
TmY10 -> LTe60,11,32
TmY5a -> LC45,13,32
Tm35 -> Tm20,15,32
uncertain -> Tm9,11,32
Tm5b -> LC15,8,32
Li12 -> LC24,11,32
TmY4 -> LLPC2,13,32
Y12 -> VS4,11,32
Tm16 -> LT60,12,32
Mi1 -> T1,9,32
Li24 -> LC31b,10,32
TmY10 -> Sm22,15,32
Tm20 -> TmY16,9,32
LMt4 -> T4c,5,32
LPi07 -> H2,13,32
LLPt -> LC31a,9,32
Mi15 -> aMe3,13,32
Sm30 -> MTe25,7,32
TmY9q⊥ -> TmY20,12,32
Tm8b -> LC45,13,32
Tm9 -> Lawf1,8,32
Tm5e -> MTe51,14,32
Pm07 -> cM16,8,32
Tm5e -> MC65,14,32
TmY5a -> Tm8b,8,32
Sm31 -> Sm31,12,32
Tm4 -> Pm14,14,32
Tlp4 -> Li21,13,32
Tm5a -> LCe05,14,32
Pm10 -> Y3,14,32
Sm41 -> T2a,14,32
Sm41 -> Sm42,1,32
MLt6 -> MLt6,10,32
LPi11 -> TmY15,10,32
LPi13 -> cLP01,8,32
LPi11 -> LLPt,14,32
TmY31 -> LTe24,10,32
Tlp1 -> LC39,6,32
Y3 -> 5-HTPMPV03,13,32
LMt2 -> Pm08,15,32
R8 -> aMe5,8,32
LMa2 -> Li31,7,32
LMa2 -> MeTu4a,10,32
Sm11 -> Tm27,11,32
Pm14 -> T2,15,32
Sm29 -> cM14,5,32
Li33 -> LCe02,7,32
Li33 -> DNp11,1,32
Sm35 -> MeTu1,11,32
Sm35 -> Sm41,3,32
Am1 -> VST2,4,32
Lawf2 -> TmY16,9,32
LPi12 -> LPT23,3,32
LPi12 -> LPT31,3,32
LPi12 -> LPLC4,10,32
LPi12 -> LPi14,2,32
Li32 -> LPT31,4,32
Li32 -> LT80,2,32
LC4 -> LC9,13,32
LTe48 -> cL04,2,32
LC13 -> LC14a2,12,32
LC15 -> LT82a,12,32
LC11 -> LC15,12,32
LLPC3 -> TmY5a,15,32
LC14b -> LC10c,11,32
MTe01b -> aMe12,13,32
LC40 -> PLP239,3,32
LLPC2 -> TmY11,15,32
MeTu4c -> MTe36,9,32
LC14a1 -> Tm21,14,32
LLPC3 -> TmY15,15,32
cM04 -> LNda,3,32
LPLC2 -> LPC2,14,32
LLPC1 -> Li33,12,32
MTe01b -> MeMe_e03,4,32
LLPC1 -> TmY5a,15,32
LPLC1 -> LPi15,15,32
LLPC3 -> LPi04,13,32
LPLC1 -> LMt1,13,32
LC28a -> Y1,13,32
LLPC2 -> LPi09,12,32
LT52 -> LT65,9,32
LC4 -> TmY3,15,32
LC14a1 -> T2a,9,32
LC14a2 -> LCe01a,8,32
LC14a2 -> Tm7,13,32
LT82a -> LMa1,12,32
MTe01b -> aMe26,10,32
MeMe_e02 -> Sm41,6,32
LPTe02 -> LTe38a,4,32
cL16 -> Li32,2,32
MeTu3b -> aMe9,8,32
cL02a -> LLPt,8,32
LT52 -> LTe49c,8,32
MeMe_e02 -> Tm34,12,32
cL13 -> Li02,7,32
cML01 -> Li26,4,32
cML01 -> LCe07,5,32
LC14b -> LLPC3,7,32
LT79 -> CB3089,1,32
LT36 -> Li13,10,32
CB0816 -> OA-AL2i3,4,32
MeTu4c -> MLt5,14,32
LC4 -> LMa3,13,32
LTe08 -> Tm35,12,32
LC24 -> Li02,11,32
LC10b -> LTe49c,11,32
l-LNv -> cM09,8,32
MTe37 -> Tm5e,13,32
LAL047 -> LTe20,1,32
LPT27 -> LPi11,7,32
MeMe_e06 -> Sm29,4,32
VS1 -> Tlp1,13,32
MC65 -> LTe37,6,32
LC20a -> LTe27,6,32
mALC5 -> LCe03,10,32
LT56 -> Tm5c,12,32
LT41 -> LC21,11,32
LT41 -> Li15,5,32
LT53 -> LTe21,3,32
LT38 -> TmY15,11,32
VST2 -> cLP03,5,32
LTe13 -> LT53,4,32
DNpe053 -> MTe46,3,32
cL04 -> LT36,2,32
LT84 -> TmY5a,12,32
OA-AL2b2 -> L5,12,32
cLP05 -> LLPC1,13,32
aMe17a2 -> Sm07,13,32
MTe28 -> MC65,3,32
cLP02 -> Li05,10,32
LPT21 -> LPi10,9,32
cM14 -> cM02b,1,32
cM14 -> cM02a,1,32
LT42 -> Li27,2,32
LT58 -> aMe5,8,32
LTe17 -> PLP023,1,32
HSS -> TmY20,14,32
uncertain -> MTe40,1,32
HSE -> T4a,15,32
cM01b -> Sm33,2,32
LT43 -> LPLC4,10,32
cL22b -> cL18,1,32
LTe21 -> PLP037b,1,32
cLLPM02 -> cL05,1,32
PLP037b -> LPT51,1,32
H2 -> T4b,16,32
cLP04 -> Y1,8,32
cL06 -> LC20a,10,32
cL06 -> LTe37,2,32
cM02b -> MeMe_e09,1,32
MeLp2 -> LLPC2,12,32
LT34 -> Tm33,10,32
LTe25 -> LTe50,2,32
aMe9 -> Sm38,4,32
cL05 -> Li30,1,32
LT83 -> LMa3,7,32
Tm8a -> LT69,9,31
T4c -> TmY31,13,31
Y4 -> Pm08,11,31
TmY11 -> MTe27,13,31
TmY11 -> Tm33,12,31
Sm13 -> MeTu4a,10,31
Tm3 -> OA-AL2i2,15,31
Sm16 -> Sm07,11,31
Pm08 -> MLt1,6,31
TmY10 -> Li01,13,31
L1 -> L4,11,31
Li09 -> LPLC2,14,31
T2 -> Dm16,15,31
Sm09 -> aMe9,13,31
MLt1 -> Dm15,14,31
MLt5 -> Sm24,11,31
Tlp1 -> LPT50,9,31
Pm09 -> Mi4,9,31
C2 -> Mi9,13,31
Li10 -> Li31,13,31
Pm13 -> MTe43,1,31
LPi02 -> TmY5a,14,31
Y3 -> LTe48,8,31
Tm5f -> LCe01b,13,31
Mi14 -> TmY11,14,31
Lawf1 -> Dm20,15,31
Tm25 -> LC16,15,31
Sm16 -> aMe25,11,31
Pm05 -> Pm13,8,31
T2a -> DNp11,12,31
Tlp4 -> Tm27,14,31
Tm36 -> LC10b,11,31
Dm11 -> Sm02,10,31
TmY16 -> Tlp4,11,31
Sm15 -> aMe12,13,31
L3 -> MLt3,14,31
Li11 -> Tm34,13,31
T2a -> Y12,12,31
Tm7 -> MTe53,12,31
T4c -> T5d,13,31
L4 -> Tm27,13,31
Mi10 -> MTe35,13,31
Tm5c -> Tm32,14,31
Li25 -> LMt1,12,31
Li25 -> Li25,2,31
Mi1 -> cM15,15,31
Sm10 -> Sm41,11,31
Tm2 -> Dm12,15,31
Tm21 -> Dm3v,15,31
Y12 -> Y3,15,31
Mi9 -> Pm06,14,31
Li13 -> MLt2,13,31
LMt2 -> Pm06,14,31
LMt2 -> LTe18,10,31
Tm3 -> MLt4,13,31
TmY20 -> LPT52,14,31
LPi10 -> Tlp5,13,31
T4d -> LLPC1,14,31
Li03 -> uncertain,6,31
Li03 -> LTe33,7,31
Tm25 -> Li12,11,31
LPi02 -> DCH,9,31
uncertain -> Tm33,10,31
T4a -> Y4,14,31
Tm16 -> LC37a,12,31
Tm7 -> MTe42,11,31
Tm7 -> Tm37,15,31
Pm05 -> CB0592,11,31
Sm42 -> MTe11,3,31
TmY4 -> LT39,13,31
Li10 -> Tm5d,15,31
Li14 -> Li14,12,31
MLt7 -> MTe09,10,31
Li03 -> LC31a,9,31
Sm03 -> MeMe_e03,13,31
Tm3 -> LTe15,12,31
Li01 -> TmY20,10,31
LMt3 -> LMa2,12,31
Tm16 -> Tm35,13,31
Sm12 -> Sm07,15,31
Pm08 -> MLt2,13,31
Mi4 -> Lawf2,13,31
LMa4 -> Tm5f,13,31
TmY15 -> Pm01,14,31
Tm25 -> T2a,15,31
Tm5a -> LC20b,5,31
LMa4 -> LT33,11,31
Li10 -> MLt5,14,31
LPi06 -> LLPC3,14,31
LPi06 -> LMa3,10,31
LPi06 -> LPT21,10,31
C2 -> uncertain,9,31
T2 -> Y3,15,31
TmY15 -> LPT48_vCal3,14,31
Tm4 -> MTe27,14,31
LMa4 -> Li20,11,31
L5 -> Sm20,12,31
Tm32 -> LTe36,11,31
Tm31 -> LT52,11,31
Pm01 -> TmY14,14,31
LMt2 -> LC14b,9,31
Li12 -> LTe62,4,31
Li13 -> uncertain,14,31
Tm25 -> CB0592,14,31
uncertain -> LC13,11,31
PDt -> T2,15,31
TmY4 -> LPLC1,12,31
LMt4 -> LMa5,14,31
Tm5e -> Tm3,15,31
Sm30 -> uncertain,13,31
MLt8 -> LT68,9,31
Li12 -> Li09,13,31
Mi15 -> aMe19a,14,31
Dm12 -> Dm4,10,31
Tm20 -> LTe18,12,31
LMt3 -> LPLC2,10,31
uncertain -> LC10a,11,31
Sm27 -> Tm27,12,31
Sm27 -> MTe01a,10,31
Li08 -> LT78,12,31
Pm07 -> Y3,13,31
Dm8a -> aMe12,12,31
L5 -> Tm5c,14,31
DmDRA2 -> Sm08,10,31
Sm41 -> MTe35,1,31
Sm21 -> MeMe_e05,8,31
Li27 -> Li10,10,31
TmY11 -> LTe46,11,31
Li02 -> LTe63,6,31
LPi13 -> LPT21,1,31
LPi13 -> LPT49,1,31
TmY10 -> LTe56,8,31
LMa5 -> C2,10,31
Pm14 -> Tm35,11,31
Tm31 -> LC31a,12,31
Li04 -> LTe32,8,31
LPi14 -> HSE,2,31
Li28 -> LC20b,9,31
Li33 -> LTe60,1,31
Sm35 -> MLt2,8,31
Sm35 -> Sm08,11,31
Am1 -> Tm25,14,31
Am1 -> LPT26,1,31
Li30 -> LTe15,1,31
Li31 -> Li24,6,31
Li32 -> LTe10,1,31
LC6 -> LC36,12,31
LC39 -> Li05,11,31
MTe51 -> LTe70,6,31
LC14b -> OA-AL2i2,10,31
LT66 -> LMt1,9,31
LTe32 -> LTe32,3,31
LC18 -> LMa1,13,31
MeTu1 -> Sm26,14,31
LC24 -> Li01,14,31
MTe54 -> Y3,14,31
LTe64 -> LC20b,7,31
aMe17a1 -> Sm09,13,31
LTe11 -> LPLC4,8,31
LT70 -> LTe15,4,31
LT70 -> LC14a2,8,31
LC18 -> Li10,9,31
cL03 -> Li14,6,31
LPLC2 -> LPLC1,14,31
LC14b -> LPLC1,7,31
LPLC4 -> Tm7,12,31
cL01 -> LC33a,9,31
MeTu4a -> Tm34,12,31
LC25 -> LT51,10,31
LC24 -> LC26,12,31
LC18 -> Li16,14,31
LTe16 -> Li33,1,31
LPT23 -> Y1,12,31
LC14b -> TmY11,9,31
LC31a -> LT66,9,31
LLPC2 -> T4c,14,31
MeMe_e08 -> cLP03,5,31
MeMe_e08 -> MTe52,13,31
aMe26 -> aMe24,3,31
aMe26 -> OA-AL2i4,3,31
LPTe01 -> Nod1,5,31
LT57 -> LC24,13,31
H1 -> Tm27,13,31
CB0816 -> Mi4,13,31
MeTu4b -> LTe74,7,31
MeTu4a -> TmY31,12,31
cL13 -> LC22,6,31
cML01 -> Li10,12,31
LC14a2 -> LTe27,2,31
cL10 -> aMe5,6,31
LT36 -> LT52,6,31
cM08c -> TmY9q,10,31
LT59 -> LC36,6,31
cLP02 -> TmY15,10,31
LT40 -> DNp11,1,31
LC20a -> LT72,9,31
cLP02 -> LPi07,11,31
cLP03 -> T4c,14,31
LC22 -> DNp31,4,31
LC24 -> LTe42b,6,31
MeMe_e06 -> MeTu4d,8,31
LC9 -> LC15,12,31
OA-AL2i2 -> LC14a1,11,31
OA-AL2i2 -> Li17,14,31
MC65 -> MTe28,3,31
MTe51 -> LC34,5,31
LTe30 -> LT58,1,31
cL18 -> LC20b,9,31
LC25 -> Tm5d,10,31
cL20 -> LT74,2,31
cM16 -> uncertain,5,31
LT37 -> LC28a,12,31
cL15 -> LC40,6,31
MTe42 -> cL08,1,31
MTe42 -> CB0734,1,31
LC28a -> LTe53,4,31
LPT54 -> LPi09,9,31
LPT54 -> uncertain,4,31
cMLLP02 -> LPi14,4,31
LTe38c -> LTe46,2,31
aMe17a2 -> Sm08,12,31
CB0592 -> Sm04,10,31
MTe28 -> aMe8,2,31
LPT48_vCal3 -> LPi11,9,31
LPT48_vCal3 -> PLP103b,1,31
LTe01 -> LC33a,8,31
cL22c -> LC33a,2,31
cL22c -> MLt6,8,31
CB0566 -> DmDRA2,9,31
cML02 -> CT1,1,31
cM14 -> Sm42,1,31
LT38 -> Tm16,8,31
cL08 -> LC39,1,31
cM15 -> Sm26,7,31
LPT22 -> LPT42_Nod4,1,31
LPT22 -> LT41,1,31
LT42 -> Y1,13,31
LT11 -> Li15,9,31
LT43 -> cM09,6,31
LPT53 -> LPC1,10,31
cL22b -> LLPt,12,31
LPT26 -> cLP02,5,31
LPT26 -> vCal1,1,31
cLP04 -> LPLC2,10,31
cLP04 -> LPi10,6,31
aMe1 -> cM08b,4,31
cL06 -> LTe08,1,31
LPT50 -> LPi15,1,31
cM02b -> LT58,1,31
LT65 -> LTe45,1,31
aMe3 -> CB1770,1,31
aMe9 -> Sm36,6,31
cL02a -> Li13,6,31
cMLLP01 -> MLt4,10,31
LPT47_vCal2 -> cLP02,4,31
Tm16 -> LC29,13,30
Li22 -> Li14,9,30
Tm8a -> MeTu4a,12,30
T2a -> Sm03,13,30
Dm18 -> L1,13,30
Tm7 -> MTe47,13,30
Li06 -> Li12,7,30
MLt4 -> T2a,10,30
Tm34 -> uncertain,12,30
Y12 -> LPi05,6,30
Y3 -> Tm3,14,30
LPi02 -> Nod1,13,30
Li21 -> LT53,8,30
Li21 -> Li20,10,30
Mi14 -> Tm9,13,30
Mi14 -> Mi4,13,30
Sm16 -> Dm2,13,30
Tm25 -> Dm9,12,30
Li06 -> LMt2,9,30
Dm2 -> Sm33,13,30
Tm5e -> Tm8a,13,30
Mi10 -> TmY3,12,30
Li09 -> LC24,9,30
Pm11 -> Tm21,11,30
TmY10 -> LTe38b,11,30
L4 -> Lai,13,30
Tm16 -> LTe51,11,30
Tm5a -> Tm34,12,30
C3 -> Mi2,9,30
MLt5 -> cM07,8,30
Tm36 -> LC39,8,30
LMa3 -> Li16,12,30
Tm5d -> Tm5e,12,30
Tm4 -> Y1,11,30
Tm5c -> LC31c,14,30
Tm5c -> LCe05,12,30
Sm15 -> uncertain,11,30
Tm16 -> Y1,11,30
Tm5c -> Li16,13,30
MLt2 -> MeMe_e07,12,30
MLt3 -> DNp11,7,30
Li05 -> LT40,9,30
TmY31 -> MLt7,15,30
Tm5f -> Tm9,13,30
Sm07 -> Tm31,14,30
Sm07 -> aMe17a2,13,30
MLt2 -> Sm42,13,30
Tm5f -> LMt2,13,30
T4c -> LPT49,13,30
Pm05 -> LPLC2,7,30
Tm16 -> Li18,13,30
Sm31 -> MTe49,6,30
Tm9 -> Tm9,12,30
Tm5e -> LC6,15,30
LPi03 -> Y12,11,30
L1 -> Mi9,9,30
Tm5b -> MTe04,11,30
Pm10 -> Pm02,14,30
Tm8a -> LTe38c,10,30
Dm20 -> MTe40,9,30
Tm33 -> Tm5a,15,30
Sm22 -> Sm31,12,30
MLt5 -> MLt4,12,30
Dm3p -> Mi2,14,30
Dm16 -> Mi1,14,30
MLt3 -> Li16,12,30
MLt3 -> Tm9,15,30
Sm06 -> TmY3,14,30
Li25 -> LMt2,11,30
Li25 -> LC31b,6,30
TmY20 -> LC14b,9,30
LMa5 -> LMt1,12,30
TmY5a -> Tm32,12,30
Mi1 -> Dm3p,13,30
TmY31 -> T2a,14,30
Sm12 -> Tm5c,15,30
Tlp5 -> LC19,12,30
T5b -> uncertain,14,30
Sm30 -> Sm39,9,30
TmY5a -> Li17,14,30
Li01 -> LC35,12,30
Tm5f -> LTe26,10,30
LPi10 -> T5d,14,30
Tm1 -> Lawf1,12,30
Dm9 -> Tm2,14,30
Pm07 -> cM05,8,30
Sm02 -> Mi4,11,30
LMt4 -> MTe52,13,30
TmY9q⊥ -> LTe42c,11,30
Tm3 -> LPLC2,13,30
Tm16 -> Lat,10,30
Tm7 -> LLPC4,10,30
Tm27 -> Pm08,15,30
T2a -> TmY10,14,30
Sm10 -> MeTu4a,13,30
C3 -> Tm25,11,30
Mi1 -> TmY20,13,30
MLt5 -> Dm8a,12,30
LPi10 -> cLP03,11,30
TmY5a -> Li33,12,30
Tm34 -> Tm16,13,30
Li17 -> Tm5c,14,30
Tm16 -> cL22b,13,30
Dm9 -> MTe01b,14,30
Li08 -> LC39,11,30
Li08 -> LTe40,6,30
Sm32 -> L3,8,30
Pm10 -> LMt2,12,30
TmY10 -> Tm33,10,30
Tm3 -> MLt1,11,30
TmY10 -> LT55,13,30
MLt1 -> Lawf1,13,30
Dm2 -> Tm8b,10,30
LMa1 -> LC11,12,30
Tm32 -> Tm5f,13,30
T5c -> LPT49,13,30
LMa2 -> Pm04,12,30
TmY31 -> MTe12,13,30
Tm3 -> Tm5d,13,30
T3 -> LMt2,13,30
Li12 -> LTe42b,5,30
Li12 -> LCe05,8,30
Tm5e -> LCe05,12,30
Sm37 -> DmDRA1,5,30
Tm16 -> MeTu4a,10,30
TmY3 -> cML01,12,30
Sm25 -> Sm38,8,30
Y3 -> LC11,10,30
Li15 -> LMt4,11,30
TmY11 -> LC14a1,7,30
TmY5a -> T5d,12,30
Y4 -> LC29,11,30
TmY4 -> T4c,14,30
Dm11 -> Mi10,14,30
TmY5a -> MTe13,12,30
LPi04 -> TmY11,13,30
Sm17 -> aMe4,10,30
Tm5d -> Pm05,13,30
LPi07 -> Tlp14,14,30
Dm8a -> Tm37,12,30
Tm8a -> LTe29,9,30
Sm32 -> Tm37,11,30
LMa2 -> MeMe_e07,12,30
Sm27 -> MTe38,3,30
Li27 -> Li12,12,30
Li27 -> TmY9q,12,30
Li27 -> Li32,2,30
Li27 -> Li33,2,30
Y12 -> LC35,13,30
Tm32 -> Tm32,10,30
LPi13 -> Tlp14,8,30
LPi13 -> LPT22,1,30
Sm33 -> Pm14,4,30
Sm06 -> Sm08,12,30
Tlp14 -> LPT31,10,30
L3 -> Dm8a,2,30
Dm2 -> Sm36,11,30
Sm40 -> Pm14,4,30
L5 -> DNc01,3,30
Pm14 -> Sm12,10,30
Pm14 -> Sm22,12,30
Dm9 -> Tm8a,13,30
Li05 -> LC39,5,30
LMa2 -> LC14a2,6,30
uncertain -> T3,9,30
Am1 -> Nod2,1,30
LPi12 -> T5a,14,30
LPi12 -> HSS,1,30
Li31 -> LT57,5,30
Li32 -> Tlp5,13,30
Li32 -> LTe25,1,30
cLP01 -> LPT52,9,30
LC13 -> LMa3,12,30
LTe38a -> CB0143,2,30
LC11 -> Li33,11,30
LLPC1 -> LT78,5,30
LC39 -> PLP163,3,30
LCe01b -> LT52,12,30
LC28a -> LTe27,6,30
LPC1 -> Y11,10,30
LT74 -> Li21,9,30
LT74 -> Li27,4,30
MeTu1 -> aMe19a,7,30
MeTu4c -> LTe53,5,30
LC10d -> LT34,5,30
LPLC4 -> TmY5a,15,30
LC14a1 -> Li11,8,30
mALC6 -> LTe13,2,30
MTe05 -> Sm24,12,30
MeTu4a -> LCe09,10,30
MeTu3c -> Sm21,11,30
LC10d -> LTe17,12,30
cL01 -> LTe14,6,30
LPC2 -> T4c,14,30
cLP02 -> cLP02,12,30
MeTu4a -> cM08c,11,30
LC29 -> LMa1,10,30
LC25 -> LC31a,12,30
LTe14 -> LT70,3,30
LC28a -> LPLC4,14,30
LC28a -> Li02,13,30
LPT23 -> Tlp5,11,30
cL12 -> LC36,4,30
LC14b -> Tm21,9,30
LC45 -> Li09,5,30
MeMe_e08 -> Dm10,10,30
LC14a2 -> LTe21,5,30
MeMe_e08 -> T2a,14,30
cM05 -> cM07,1,30
H1 -> LPT23,6,30
LC10b -> TmY10,13,30
cL02a -> Li33,3,30
cLPL01 -> Y12,9,30
LT52 -> LTe36,9,30
aMe9 -> MeMe_e01,10,30
aMe17b -> MTe01b,10,30
LCe01a -> LC24,10,30
MTe12 -> MTe02,11,30
LC14a2 -> LMa3,9,30
aMe8 -> MTe05,6,30
cL19 -> Li10,14,30
MeTu3a -> Sm21,12,30
LCe03 -> LT52,12,30
MTe01a -> Tm5d,14,30
LCe01b -> LC25,12,30
LAL047 -> LT64,2,30
LPT27 -> Y3,12,30
cLP02 -> uncertain,10,30
MTe51 -> LTe60,5,30
OA-AL2i2 -> Li15,10,30
OA-AL2i2 -> TmY14,11,30
MC65 -> LTe49a,6,30
mALC5 -> T2,12,30
mALC5 -> MeLp1,1,30
MeTu4c -> LT43,10,30
cL18 -> LLPC2,10,30
cL20 -> Li24,2,30
cL20 -> LMt1,9,30
cL20 -> Y4,10,30
LTe51 -> uncertain,1,30
cL18 -> LC9,11,30
OA-AL2i1 -> MTe52,12,30
OA-AL2i1 -> Am1,1,30
OA-AL2i1 -> TmY3,13,30
mALD1 -> LTe74,1,30
PLP023 -> LPC1,5,30
LT37 -> Li10,7,30
LT37 -> CB0472,1,30
LTe50 -> LTe50,2,30
LT39 -> cL02a,1,30
LPT54 -> LPT21,1,30
cM08a -> MTe47,4,30
cL22c -> LT81,5,30
CB0566 -> Tm5b,13,30
LT68 -> LT63,4,30
cL08 -> LPLC1,11,30
cM15 -> LMa2,8,30
cM15 -> Tm33,11,30
LT42 -> Li15,6,30
LT58 -> LCe01a,8,30
LT58 -> MTe14,2,30
LC14b -> T4c,11,30
LC14b -> T4b,11,30
MTe45 -> LTe69,1,30
LTe21 -> OA-AL2i1,1,30
LPT26 -> LPLC4,11,30
LPT26 -> cLP03,5,30
cL02d -> Li07,6,30
LTe19 -> LT51,5,30
LTe29 -> LTe64,3,30
LTe22 -> LTe68,4,30
VS3 -> LPi13,1,30
cMLLP01 -> Li32,1,30
Li22 -> LMa1,12,29
Mi4 -> TmY9q⊥,12,29
Tm4 -> LTe20,14,29
Tm2 -> C2,9,29
Tm1 -> PDt,9,29
Sm13 -> T2a,12,29
T2a -> LC31c,12,29
Li06 -> Tm3,13,29
