from type -> to type,connections,synapses
T2a -> LMa5,1687,10413
Mi4 -> Tm9,975,10394
Tm3 -> T4b,2262,10386
T4c -> Tlp4,2362,10376
Mi2 -> Tm21,2045,10253
Tm3 -> T4c,2327,10196
Tm4 -> Li21,1293,10164
CT1 -> Tm9,741,10113
MeMe_e07 -> TmY3,2148,10096
Mi13 -> Mi1,1958,9977
aMe17c -> Dm10,483,9960
T2 -> LMa2,2277,9954
Mi4 -> Pm10,2036,9922
Tm5c -> Tm5e,862,9919
Tm25 -> LT11,353,9906
Mi1 -> Tm25,1552,9768
TmY3 -> LC4,1307,9641
TmY15 -> TmY14,849,9596
L5 -> C3,1265,9540
T4c -> LPi07,1575,9513
Mi4 -> LMa5,1074,9498
T4b -> Am1,745,9422
Pm01 -> Mi1,2397,9383
Li17 -> LC17,1002,9361
Mi10 -> Dm10,1152,9343
Dm9 -> R8,799,9327
T4c -> LPC2,1735,9319
Pm09 -> T2a,1858,9286
T5a -> Y1,1920,9282
Pm02 -> Tm1,2272,9220
Tm4 -> Pm10,1821,9216
Tm20 -> Tm5f,1841,9179
Mi1 -> T2,1940,9176
L3 -> Dm20,2633,9173
Lawf1 -> L3,2477,9144
Tm3 -> T4d,2147,9139
Pm05 -> LMa5,215,9066
Mi9 -> T4a,1892,9040
Dm6 -> Mi4,1811,9029
L5 -> Dm2,2028,9028
Mi13 -> Tm2,1853,9014
T2a -> LMa2,1979,9001
T4c -> LLPC2,1993,8981
Y3 -> Li10,794,8941
Mi1 -> Mi4,882,8927
T4c -> Y11,2334,8874
T5c -> Y11,2306,8870
Mi15 -> MeTu3c,1395,8793
Lawf2 -> L5,2495,8779
Mi9 -> Y3,1678,8765
OA-AL2b2 -> Lawf2,650,8762
Pm04 -> T2a,1559,8705
OA-AL2b2 -> C3,1690,8647
T5b -> LPC1,1699,8638
Dm1 -> Tm3,1582,8585
Pm05 -> Y3,707,8570
Mi1 -> Mi2,1646,8530
Pm08 -> T2a,2399,8454
Dm2 -> MTe01b,1660,8431
Y3 -> TmY5a,1260,8405
Tm16 -> Tm1,1574,8402
Y3 -> Li32,298,8381
L2 -> Dm17,1301,8359
LMa5 -> Pm04,206,8331
Tm4 -> Pm02,2104,8326
Mi9 -> T4c,1887,8306
Pm03 -> T2,2147,8290
Y11 -> TmY14,822,8265
CT1 -> T4a,719,8241
T3 -> LMa2,1872,8229
Dm1 -> L5,1392,8194
C3 -> Mi9,867,8189
T5d -> LPi13,725,8175
Mi9 -> Tm1,773,8172
Pm09 -> Mi1,1718,8158
Tm3 -> L1,2100,8156
Sm32 -> Dm12,801,8154
T5d -> LLPC3,1619,8137
Dm4 -> Dm2,639,8114
Tm5f -> LT79,396,8085
Dm3v -> TmY4,1869,8068
T5b -> LPi05,1496,8052
Dm11 -> Dm2,875,8017
C3 -> Dm1,1383,8017
Pm02 -> TmY5a,1704,8014
T2 -> Pm09,1524,8010
TmY31 -> TmY5a,963,7994
TmY10 -> Mi4,1539,7982
T4a -> LLPC1,1592,7959
C3 -> L5,747,7927
T4b -> LPC1,1610,7889
T2a -> LT62,797,7875
L4 -> Tm4,1909,7855
LPi13 -> TmY14,185,7854
Y12 -> TmY14,857,7849
Tm8a -> Li10,642,7848
cL21 -> T2,1333,7837
T4a -> TmY20,1646,7836
Tm5f -> LC17,1317,7825
Mi10 -> Mi9,1535,7824
TmY14 -> Pm08,966,7810
Dm12 -> Mi9,1675,7788
T4d -> Tlp1,1906,7746
T4b -> LPi05,1448,7741
LMa2 -> T2a,1632,7740
Dm2 -> Sm06,1495,7733
L3 -> Tm5c,1073,7719
Mi4 -> Y3,1673,7709
Mi1 -> Dm10,1732,7671
Mi9 -> T4b,1612,7665
Dm3p -> TmY9q,1757,7655
T2a -> LC11,2069,7654
Dm4 -> Dm10,480,7654
Mi13 -> Tm4,1888,7648
T5a -> LLPC1,1513,7644
T2a -> TmY5a,1543,7637
T5c -> LLPC2,1765,7633
T5a -> TmY20,1598,7630
Sm16 -> MeTu1,835,7603
Y1 -> TmY14,727,7551
T5b -> LPi10,2074,7544
T5d -> Tlp1,1789,7509
T5b -> H2,666,7489
Y3 -> Li30,301,7486
T4d -> LLPC3,1558,7477
Dm14 -> Tm2,1470,7474
Sm20 -> Dm8a,984,7470
Dm2 -> Mi4,1131,7447
T4d -> LPi13,770,7447
Tm2 -> Li22,1510,7437
Dm2 -> Sm08,1414,7427
Mi15 -> MeTu3b,1355,7415
Dm3q -> TmY9q⊥,1872,7378
Tm4 -> Mi14,1703,7368
Tm3 -> LC12,1613,7347
Dm18 -> L5,1759,7347
Sm20 -> Dm8b,1034,7336
Pm05 -> TmY14,461,7279
T2 -> LPLC1,1629,7265
Tm3 -> Pm10,1648,7257
TmY3 -> T2,1627,7246
T5c -> LPi07,1382,7237
T2a -> LPLC1,1453,7229
Tlp14 -> TmY14,730,7223
T4b -> LPi10,2099,7217
T4a -> Y1,1676,7124
Tm4 -> T5c,1867,7099
Pm09 -> T2,1488,7090
T4b -> H2,663,7079
Tm16 -> Mi9,1469,7041
T3 -> LC21,1331,7033
Mi9 -> T4d,1600,7032
Mi4 -> Tm27,1566,7019
CT1 -> T4b,722,6984
Dm17 -> L2,1280,6979
CT1 -> T4c,797,6965
LPi10 -> TmY14,831,6919
Dm13 -> TmY3,1106,6911
CT1 -> T4d,739,6909
Mi1 -> C3,847,6902
Mi9 -> Pm05,759,6884
Mi4 -> Pm12,1257,6884
T3 -> Pm04,1220,6878
Pm03 -> Tm2,2017,6834
Pm10 -> TmY14,696,6816
Pm01 -> Tm25,1297,6805
Y3 -> Tm5f,1161,6768
Y1 -> T4a,1537,6767
LPi12 -> T4b,742,6741
Mi9 -> Tm7,997,6736
L4 -> Dm14,1403,6710
Tm5c -> Mi15,1070,6710
Tm25 -> LTe26,349,6668
Tm20 -> Sm22,1848,6666
Pm10 -> Pm05,314,6659
Mi4 -> Dm20,2166,6646
Tm1 -> Tm20,788,6632
Tm4 -> LC4,1632,6632
Pm05 -> Tm21,901,6613
Sm30 -> Mi15,1347,6594
Pm05 -> Tm27,844,6578
Mi9 -> LMa5,950,6530
Mi1 -> Dm2,1281,6518
Pm01 -> TmY5a,1610,6504
Y1 -> T5a,1561,6490
Tm2 -> Tm21,1618,6453
Tm5f -> LPLC2,1204,6438
Tm4 -> T5a,1557,6437
Pm05 -> T2a,1106,6436
T2a -> LT83,814,6423
Dm17 -> Tm2,1262,6392
T3 -> Li16,1777,6391
Tm5f -> Li18,1425,6390
Tm5f -> LPLC1,962,6384
Pm01 -> Pm09,727,6382
T2 -> LMa3,1357,6366
TmY3 -> TmY14,968,6351
TmY16 -> Pm03,659,6344
Mi9 -> Tm21,1699,6265
TmY31 -> Sm42,156,6255
Pm03 -> LMa5,380,6254
cL21 -> T3,1196,6248
T4d -> LPi07,1275,6246
T2 -> LMa1,1258,6220
T4a -> T4a,1867,6182
Pm10 -> LMa5,198,6181
Dm8b -> Dm9,556,6161
Tm4 -> T5d,1589,6157
CB0816 -> Lawf1,512,6157
LMa1 -> Li17,250,6151
T2 -> LC12,1920,6146
C3 -> Lai,1185,6146
Dm15 -> Tm2,1682,6112
Tm3 -> Mi14,1518,6108
Tm3 -> Li22,1565,6089
Tm20 -> LC16,1330,6083
L3 -> Dm4,660,6039
L5 -> Tm25,1374,6035
LMa5 -> Mi13,499,6016
Li30 -> TmY31,156,6008
L4 -> L2,1368,5963
T5c -> LPi04,1148,5949
TmY14 -> Pm03,933,5944
LMa2 -> TmY14,609,5938
Tm2 -> Tm25,1254,5910
TmY5a -> LMa5,776,5907
Tm5c -> Dm2,1065,5902
Tm21 -> Tm21,1855,5857
Mi2 -> LMa5,615,5850
Tm5f -> Li06,1161,5822
Tm1 -> Mi2,1391,5820
T3 -> Tm21,1205,5816
Dm12 -> Dm10,844,5794
LMt4 -> LMa4,285,5794
Pm06 -> Pm02,509,5787
MeTu1 -> MeTu1,936,5784
Mi13 -> L5,1364,5767
Y11 -> T4c,1725,5745
Tm25 -> LC25,1182,5717
Tm2 -> LC4,1415,5704
Y12 -> T4d,1618,5703
Tm1 -> TmY9q⊥,1274,5695
Dm2 -> Sm15,1194,5684
Mi1 -> Mi9,717,5682
T2 -> T2,1910,5676
Tm2 -> Dm1,1289,5664
Tm1 -> TmY9q,1308,5632
Tm4 -> Li31,689,5621
Tm21 -> LC11,1550,5618
Tm4 -> T5b,1494,5599
T5a -> T5a,1812,5591
Tm1 -> CT1,737,5590
Dm4 -> Mi10,450,5564
C2 -> L4,1225,5547
Tm1 -> TmY16,1250,5535
Li17 -> T2a,1793,5527
C3 -> T2,1505,5524
Lawf2 -> C2,1848,5514
Dm15 -> Tm4,1672,5464
Tm21 -> LC21,1297,5445
Pm01 -> T2,1590,5437
Am1 -> TmY14,185,5418
Pm09 -> T3,1353,5404
LPi11 -> Tlp14,232,5401
T5a -> DCH,456,5379
T4b -> T4b,1675,5379
Dm19 -> Tm1,1666,5375
TmY15 -> T4a,1298,5370
Li15 -> LC11,422,5347
Pm09 -> Tm3,1358,5345
Tm2 -> TmY16,1190,5328
LMa5 -> Lawf2,346,5325
Tm21 -> Li25,1079,5324
Pm11 -> Tm2,1472,5311
Mi9 -> Dm4,744,5309
TmY15 -> T4b,1348,5308
Mi2 -> T2,1170,5305
Y3 -> TmY14,799,5280
R8 -> Dm9,651,5273
T5d -> LPi07,1167,5262
T5a -> Li14,1195,5257
Y3 -> T2a,1351,5256
Pm07 -> Pm09,208,5254
LMa2 -> LMa5,182,5247
Mi2 -> T2a,1296,5233
L2 -> Tm20,674,5228
LC9 -> LMa1,260,5194
TmY14 -> Pm02,880,5183
Mi4 -> TmY5a,1372,5178
Pm08 -> LMa2,290,5177
Pm09 -> Tm2,1387,5140
LMt2 -> T2a,1675,5139
cM05 -> Mi13,344,5125
TmY5a -> LMt2,1405,5093
Dm15 -> Mi4,1355,5084
Sm22 -> Tm20,1585,5080
Tm5a -> LT58,217,5063
Dm8b -> Tm5b,563,5057
T3 -> Tm3,1110,5052
Tm5c -> Tm21,1098,5042
TmY14 -> Pm01,926,5038
LPi12 -> T5b,740,5030
Dm19 -> Tm2,1599,5018
T4b -> CT1,724,5017
Mi4 -> Dm3p,1159,5004
LMa2 -> Pm05,262,4992
T4d -> Y12,1530,4983
Mi1 -> Pm09,1252,4982
Li06 -> LMa2,440,4978
Sm19 -> Dm8a,459,4974
TmY15 -> T4c,1339,4966
Tm3 -> Tm27,1308,4956
Tm4 -> LC12,1202,4950
Mi9 -> Tm2,778,4942
C2 -> Mi1,723,4931
TmY16 -> Mi9,1296,4919
Pm11 -> T2,1290,4891
L4 -> T2,1018,4890
TmY5a -> Li30,552,4887
T4a -> TmY16,1167,4884
Dm8a -> Sm02,548,4873
Mi4 -> TmY10,1178,4861
Mi4 -> Dm3q,1217,4841
T3 -> Tm25,1082,4835
LPi11 -> LLPC2,301,4822
Tm20 -> LC10c,1251,4820
Mi9 -> Pm14,762,4815
Tm16 -> Lawf1,876,4780
Sm19 -> Dm8b,514,4779
T5c -> LPLC2,1423,4772
T5d -> Y12,1459,4772
TmY4 -> Li28,394,4771
T3 -> LMa3,974,4767
Mi4 -> Pm14,840,4759
cLP03 -> TmY16,432,4748
Dm13 -> T2,1303,4746
Mi4 -> T4b,1055,4733
Y4 -> TmY14,452,4726
T4b -> LPi12,702,4719
Pm04 -> T2,1102,4710
T4a -> DCH,459,4701
Tm1 -> TmY4,1032,4688
Pm14 -> TmY16,146,4687
Dm20 -> Dm10,1234,4684
Tm20 -> Tm20,1393,4682
T2a -> Tm20,1354,4659
Li32 -> Y3,299,4639
Pm04 -> T3,1165,4637
Mi4 -> T4a,1116,4635
Pm04 -> Pm09,350,4634
Tlp4 -> TmY14,609,4630
Pm08 -> T2,1462,4627
LC17 -> cL21,282,4621
Tlp1 -> TmY14,550,4611
T2 -> Mi1,1407,4606
Y11 -> T5c,1491,4591
T3 -> Pm09,1216,4585
TmY5a -> Dm18,1214,4585
TmY31 -> Li33,155,4572
TmY3 -> LMa4,815,4571
Pm08 -> LMa5,298,4570
Tm21 -> Li19,1013,4561
Pm10 -> Tm3,1363,4556
