Type,Right OL,Left OL,Diff from Right OL
LPT51,1,1,0%
cLPL01,1,1,0%
LTe18,1,1,0%
MTe35,1,1,0%
LHPV2i2a,1,0,-100%
LTe27,1,1,0%
LT61b,1,1,0%
cL13,1,1,0%
cML01,1,1,0%
LT79,1,1,0%
cL10,1,1,0%
MTe33,1,1,0%
LT36,1,1,0%
LT59,1,1,0%
LT40,1,1,0%
LTe23,1,1,0%
HSN,1,1,0%
cM18,1,1,0%
MTe23,1,1,0%
LTe08,1,1,0%
cL07,1,1,0%
LT1a,1,1,0%
LPT04_HST,1,1,0%
MTe37,1,1,0%
AOTU053,1,0,-100%
DNc02,1,1,0%
LTe53,1,1,0%
LAL047,1,1,0%
VS7,1,1,0%
cM10,1,0,-100%
LPT27,1,1,0%
MTe43,1,1,0%
s-LNva,1,1,0%
LPT42_Nod4,1,1,0%
VS1,1,1,0%
MTe20,1,1,0%
mALC5,1,1,0%
MTe41,1,1,0%
MTe26,1,1,0%
cM02a,1,1,0%
LTe30,1,1,0%
cM07,1,1,0%
LTe60,1,1,0%
Nod3,1,1,0%
LT33,1,1,0%
cL20,1,1,0%
LPT52,1,1,0%
LT87,1,1,0%
MTe48,1,1,0%
LT1c,1,1,0%
LT56,1,1,0%
LT41,1,1,0%
LT69,1,1,0%
mALD2,1,1,0%
LTe49e,1,2,+100%
cM16,1,1,0%
LTe51,1,1,0%
Nod5,1,1,0%
cL11,1,1,0%
aMe20,1,1,0%
LPT58,1,1,0%
LT1b,1,1,0%
aMe6a,1,1,0%
OA-AL2i1,1,1,0%
cM01a,1,1,0%
mALD1,1,1,0%
LTe73,1,1,0%
LT37,1,1,0%
cL15,1,1,0%
LTe13,1,1,0%
LT39,1,1,0%
MTe42,1,1,0%
MTe22,1,1,0%
LTe10,1,1,0%
cL14,1,1,0%
MTe30,1,1,0%
CB3089,1,1,0%
LTe62,1,1,0%
LPT54,1,1,0%
LTe41,1,1,0%
vCal1,1,1,0%
LT1d,1,1,0%
LTe24,1,1,0%
LT84,1,1,0%
LTe35,1,1,0%
LTe42b,1,1,0%
LTe72,1,1,0%
cLP05,1,1,0%
LTe74,1,1,0%
aMe17a2,1,1,0%
MTe28,1,1,0%
LPT48_vCal3,1,1,0%
cM17,1,1,0%
VS6,1,1,0%
LTe40,1,1,0%
cL22c,1,1,0%
MTe27,1,1,0%
LTe70,1,1,0%
LTe57,1,1,0%
cML02,1,1,0%
LPT21,1,1,0%
cM14,1,1,0%
LCe01,1,2,+100%
VCH,1,1,0%
cL08,1,1,0%
LTe56,1,1,0%
LNda,1,1,0%
cM15,1,1,0%
LPT22,1,1,0%
MTe29,1,1,0%
LT42,1,1,0%
LT58,1,1,0%
LTe17,1,1,0%
LT11,1,1,0%
LTe42a,1,1,0%
HSS,1,1,0%
MTe45,1,1,0%
LT85,1,1,0%
HSE,1,1,0%
AOTU065,1,0,-100%
LTe06,1,1,0%
cM01b,1,1,0%
LPT53,1,1,0%
DNp11,1,1,0%
cL22a,1,1,0%
LT62,1,1,0%
cL22b,1,1,0%
DNg33,1,0,-100%
LTe21,1,1,0%
AVLP151,1,1,0%
LPT26,1,1,0%
AVLP534,1,0,-100%
MTe19,1,1,0%
LTe26,1,1,0%
LT67,1,1,0%
LTe05,1,1,0%
cLLPM02,1,1,0%
LPT28,1,1,0%
CB3790,1,2,+100%
LTe12,1,1,0%
LTe46,1,1,0%
cL02d,1,1,0%
MTe31,1,1,0%
H2,1,1,0%
cLP04,1,1,0%
DN1-l,1,1,0%
PLP215,1,1,0%
cL06,1,1,0%
MTe44,1,1,0%
LPT29,1,1,0%
MTe36,1,1,0%
LT72,1,1,0%
Nod2,1,1,0%
LTe61,1,1,0%
LPT49,1,1,0%
cM02b,1,1,0%
aMe13,1,1,0%
LTe75,1,1,0%
LT75,1,1,0%
LT86,1,1,0%
LTe69,1,1,0%
cM13,1,1,0%
LTe19,1,1,0%
MTe38,1,1,0%
LTe76,1,1,0%
LT34,1,1,0%
LTe55,1,1,0%
cL02c,1,1,0%
VS8,1,1,0%
LTe71,1,1,0%
LTe28,1,1,0%
LTe07,1,1,0%
LT47,1,1,0%
LTe29,1,1,0%
PLP251,1,1,0%
MTe32,1,1,0%
MTe18,1,2,+100%
LC31c,1,1,0%
VS5,1,1,0%
mALC4,1,1,0%
DCH,1,1,0%
LT65,1,1,0%
MTe34,1,1,0%
mALC3,1,1,0%
LPT30,1,1,0%
LTe22,1,1,0%
LTe15,1,1,0%
MTe21,1,1,0%
LTe25,1,1,0%
aMe3,1,1,0%
VS3,1,1,0%
LTe20,1,1,0%
cMLLP01,1,1,0%
cL05,1,1,0%
LTe44,1,1,0%
LT76,1,1,0%
LPT47_vCal2,1,1,0%
LT83,1,1,0%
LTe42c,1,1,0%
VS4,1,1,0%
